quantity,item_total,shipping_fee,cod,order_status,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Nov,month_Oct,month_Sept,Date_Fri,Date_Mon,Date_Sat,Date_Sun,Date_Thu,Date_Tue,Date_Wed
1,449.0,84.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,449.0,60.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,449.0,60.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,582.8562091503268,84.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1099.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,200.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,582.8562091503268,84.96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,399.0,84.96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1099.0,84.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,449.0,114.46,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,449.0,60.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,449.0,84.96,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1099.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,582.8562091503268,84.96,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1099.0,62.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,649.0,81.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,399.0,84.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,449.0,60.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,582.8562091503268,84.96,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,582.8562091503268,84.96,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,649.0,60.18,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,250.0,84.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,449.0,84.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,399.0,84.96,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,449.0,84.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,60.18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,399.0,60.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,449.0,84.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,250.0,47.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,399.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,399.0,84.96,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4,582.8562091503268,84.96,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,549.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,250.0,84.96,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,582.8562091503268,47.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,449.0,84.96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,250.0,60.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1099.0,84.96,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,582.8562091503268,60.18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1099.0,84.96,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,649.0,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,449.0,84.96,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,399.0,84.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,175.0,84.96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,549.0,47.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,399.0,47.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,175.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1299.0,178.18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,175.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,175.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,349.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,582.8562091503268,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,399.0,84.96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,449.0,47.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,399.0,60.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,250.0,84.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,349.0,84.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,549.0,84.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1299.0,210.04,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,349.0,84.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,250.0,84.96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,449.0,60.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,549.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,399.0,47.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,549.0,114.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,250.0,81.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,898.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,582.8562091503268,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,399.0,210.04,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1099.0,84.96,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,649.0,60.18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,399.0,84.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,582.8562091503268,84.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1347.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,549.0,84.96,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,399.0,84.96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,60.18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,549.0,84.96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,499.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,649.0,60.18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,582.8562091503268,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,475.0,84.96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,399.0,84.96,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1299.0,80.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1299.0,146.32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,549.0,60.18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,399.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,582.8562091503268,84.96,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,582.8562091503268,84.96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1299.0,114.46,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3897.0,133.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1499.0,114.46,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,3897.0,241.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,349.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,449.0,84.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,399.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,349.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,899.0,114.46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,475.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,549.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,399.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,582.8562091503268,84.96,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,449.0,84.96,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1796.0,84.96,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,549.0,47.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,399.0,47.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,349.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,475.0,47.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,349.0,84.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,475.0,60.18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,399.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,582.8562091503268,84.96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,349.0,60.18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,549.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,449.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,582.8562091503268,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,475.0,84.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,399.0,84.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,47.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,582.8562091503268,84.96,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,449.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,449.0,84.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,449.0,84.96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,399.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,399.0,84.96,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1347.0,84.96,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1299.0,114.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
